pupID #unique identifer for each mouse,litter #unique litter,sex,"treatment #saline and Sauton are both sham treatments, no.vacc means there was no sham, BCG and new.BCG were vaccinated. New.bcg was a different batch of bcg",outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,hr.post.challenge ,score,time,weight,ch.weight # absolute weight change from challenge to visit,pch.weight #percent weight change from challenge to visit
2015.11.30_G5_M6 (M)_new.BCG_new.0.95,24,M,new.BCG,live,2015.12.07 18:20,4.65,15.08333333,5,2015.12.08 9:25,4.44,0.21,4.516129032
2015.11.30_G5_M7 (F)_new.BCG_new.0.95,24,F,new.BCG,live,2015.12.07 18:20,4.54,15.08333333,3,2015.12.08 9:25,4.44,0.1,2.202643172
2015.11.30_G6_M2 (F)_new.BCG_new.0.95,25,F,new.BCG,live,2015.12.07 18:45,4.25,15.08333333,4,2015.12.08 9:50,4.16,0.09,2.117647059
2015.11.30_G6_M3 (F)_new.BCG_new.0.95,25,F,new.BCG,die,2015.12.07 18:45,3.72,15.08333333,2,2015.12.08 9:50,3.67,0.05,1.344086022
2015.11.30_G6_M4 (M)_Sauton_new.0.95,25,M,Sauton,die,2015.12.07 18:45,4.11,15.08333333,4,2015.12.08 9:50,4.08,0.03,0.729927007
2015.11.30_G6_M5 (F)_Sauton_new.0.95,25,F,Sauton,die,2015.12.07 18:45,3.79,15.08333333,2,2015.12.08 9:50,3.73,0.06,1.583113456
2015.11.30_G6_M6 (F)_BCG_new.0.95,25,F,BCG,live,2015.12.07 18:45,4.26,15.08333333,5,2015.12.08 9:50,4.2,0.06,1.408450704
2015.11.30_G6_M7 (M)_BCG_new.0.95,25,M,BCG,live,2015.12.07 18:45,3.8,15.08333333,4,2015.12.08 9:50,3.76,0.04,1.052631579
2015.11.30_G6_M8 (F)_BCG_new.0.95,25,F,BCG,die,2015.12.07 18:45,4.42,15.08333333,4,2015.12.08 9:50,4.32,0.1,2.262443439
7.31.2015_F1_M7 (M)_saline_old.0.8,1,M,saline,live,,,19.16666667,6,,,,
7.31.2015_F1_M8 (F)_saline_old.0.8,1,F,saline,live,,,19.16666667,8,,,,
7.31.2015_F1_M9 (F)_saline_old.0.8,1,F,saline,live,,,19.16666667,6,,,,
7.31.2015_G2.F2_M1 (M)_saline_old.1.1,2,M,saline,die,,,19,6,,,,
7.31.2015_G2.F2_M2 (M)_saline_old.1.1,2,M,saline,die,,,19,0,,,,
7.31.2015_G2.F2_M4 (M)_saline_old.0.8,2,M,saline,die,,,19,3,,,,
7.31.2015_G2.F2_M5 (M)_saline_old.0.8,2,M,saline,die,,,19,8,,,,
7.31.2015_G2.F2_M6 (F)_saline_old.0.8,2,F,saline,die,,,19,6,,,,
2015.08.07_F10_M2 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.31,16.25,2,2015.08.16 12:55,,,
2015.08.07_F10_M3 (M)_saline.vacc_old.0.95,3,M,saline,die,2015.08.15 20:40,4.8,16.25,4,2015.08.16 12:55,,,
2015.08.07_F10_M4 (F)_saline.vacc_old.0.95,3,F,saline,die,2015.08.15 20:40,5.01,16.25,8,2015.08.16 12:55,,,
2015.08.07_F10_M5 (M)_saline.vacc_old.0.8,3,M,saline,live,2015.08.15 20:40,4.98,16.25,6,2015.08.16 12:55,,,
2015.08.07_F10_M6 (M)_saline.vacc_old.0.8,3,M,saline,die,2015.08.15 20:40,3.93,16.25,6,2015.08.16 12:55,,,
2015.08.07_F10_M7 (M)_saline.vacc_old.0.8,3,M,saline,live,2015.08.15 20:40,4.28,16.25,6,2015.08.16 12:55,,,
2015.08.07_F10_M8 (F)_saline.vacc_old.0.8,3,F,saline,die,2015.08.15 20:40,4.38,16.25,6,2015.08.16 12:55,,,
2015.08.07_F6_M1 (M)_saline.vacc_old.0.95,4,M,saline,live,2015.08.15 19:55,4.2,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M2 (M)_saline.vacc_old.0.95,4,M,saline,live,2015.08.15 19:55,4.29,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M3 (F)_saline.vacc_old.0.95,4,F,saline,live,2015.08.15 19:55,4.9,16.58333333,3,2015.08.16 12:30,,,
2015.08.07_F6_M4 (M)_saline.vacc_old.0.8,4,M,saline,live,2015.08.15 19:55,4.81,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,saline,live,2015.08.15 19:55,5.15,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,saline,live,2015.08.15 19:55,4.99,16.58333333,4,2015.08.16 12:30,,,
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,saline,live,2015.08.15 19:55,4.89,16.58333333,8,2015.08.16 12:30,,,
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,saline,live,2015.08.15 20:22,5.6,16.38333333,4,2015.08.16 12:45,,,
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,saline,die,2015.08.15 20:22,5.58,16.38333333,6,2015.08.16 12:45,,,
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,saline,die,2015.08.15 20:22,5.19,16.38333333,6,2015.08.16 12:45,,,
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,saline,live,2015.08.15 20:22,5.53,16.38333333,6,2015.08.16 12:45,,,
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,saline,live,2015.08.15 20:22,4.83,16.38333333,4,2015.08.16 12:45,,,
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,saline,live,2015.08.15 20:22,5.46,16.38333333,3,2015.08.16 12:45,,,
2015.08.20_G1_M2 (M)_saline.vacc_old.0.95,6,M,saline,die,2015.08.28 18:25,4.76,18.08333333,3,2015.08.29 12:30,,,
2015.08.20_G1_M3 (M)_saline.vacc_old.0.95,6,M,saline,die,2015.08.28 18:25,4.54,18.08333333,6,2015.08.29 12:30,,,
2015.08.20_G1_M4 (F)_saline.vacc_old.0.95,6,F,saline,live,2015.08.28 18:25,4.54,18.08333333,4,2015.08.29 12:30,,,
2015.08.20_G1_M5 (M)_BCG_old.0.95,6,M,BCG,live,2015.08.28 18:25,4.71,18.08333333,2,2015.08.29 12:30,,,
2015.08.20_G1_M6 (M)_BCG_old.0.95,6,M,BCG,live,2015.08.28 18:25,4.77,18.08333333,3,2015.08.29 12:30,,,
2015.08.20_G1_M7 (F)_BCG_old.0.95,6,F,BCG,die,2015.08.28 18:25,4.24,18.08333333,3,2015.08.29 12:30,,,
2015.08.29_F1_M1 (M)_BCG_old.0.95,7,M,BCG,live,2015.09.05 20:00,3.5,16.25,4,2015.09.06 12:15,,,
2015.08.29_F1_M2 (F)_BCG_old.0.95,7,F,BCG,die,2015.09.05 20:00,3.81,16.25,3,2015.09.06 12:15,,,
2015.08.29_F1_M3 (F)_BCG_old.0.95,7,F,BCG,die,2015.09.05 20:00,3.86,16.25,4,2015.09.06 12:15,,,
2015.08.29_F1_M5 (M)_Sauton_old.0.95,7,M,Sauton,die,2015.09.05 20:00,3.73,16.25,4,2015.09.06 12:15,,,
2015.08.29_F1_M6 (F)_Sauton_old.0.95,7,F,Sauton,die,2015.09.05 20:00,3.8,16.25,2,2015.09.06 12:15,,,
2015.08.29_F2_M1 (M)_BCG_NA,8,M,BCG,die,2015.09.04 20:00,4.02,15.33333333,4,2015.09.06 11:20,,,
2015.08.29_F2_M3 (M)_BCG_NA,8,M,BCG,die,2015.09.04 20:00,5.51,15.33333333,6,2015.09.06 11:20,,,
2015.08.29_F2_M4 (M)_Sauton_NA,8,M,Sauton,die,2015.09.04 20:00,5.69,15.33333333,6,2015.09.06 11:20,,,
2015.08.29_F1_M7 (F)_Sauton_old.0.95,9,F,Sauton,live,2015.09.05 20:00,3.54,16.25,3,2015.09.06 12:15,,,
2015.09.05_G2_M1 (F)_Sauton_old.0.95,10,F,Sauton,die,2015.09.13 20:10,4.9,20,4,2015.09.14 16:10,,,
2015.09.05_G2_M2 (M)_Sauton_old.0.95,10,M,Sauton,die,2015.09.13 20:10,5.2,20,6,2015.09.14 16:10,,,
2015.09.05_G2_M3 (F)_Sauton_old.0.95,10,F,Sauton,die,2015.09.13 20:10,5.12,20,5,2015.09.14 16:10,,,
2015.09.05_G2_M4 (M)_Sauton_old.0.95,10,M,Sauton,die,2015.09.13 20:10,4.68,20,6,2015.09.14 16:10,,,
2015.09.05_G2_M5 (F)_BCG_old.0.95,10,F,BCG,live,2015.09.13 20:10,4.96,20,8,2015.09.14 16:10,,,
2015.09.05_G2_M6 (F)_BCG_old.0.95,10,F,BCG,die,2015.09.13 20:10,4.82,20,7,2015.09.14 16:10,,,
2015.09.07_G3_M1 (M)_Sauton_old.0.95,11,M,Sauton,die,2015.09.14 17:15,5.01,19.88333333,3,2015.09.15 13:08,,,
2015.09.07_G3_M2 (F)_Sauton_old.0.95,11,F,Sauton,die,2015.09.14 17:15,5.67,19.88333333,2,2015.09.15 13:08,,,
2015.09.07_G3_M3 (M)_Sauton_old.0.95,11,M,Sauton,die,2015.09.14 17:15,5.56,19.88333333,6,2015.09.15 13:08,,,
2015.09.07_G3_M4 (F)_Sauton_old.0.95,11,F,Sauton,die,2015.09.14 17:15,5.49,NA,NA,,,,
2015.09.07_G3_M5 (F)_BCG_old.0.95,11,F,BCG,live,2015.09.14 17:15,5.18,19.88333333,6,2015.09.15 13:08,,,
2015.09.07_G3_M6 (M)_BCG_old.0.95,11,M,BCG,live,2015.09.14 17:15,5.68,19.88333333,7,2015.09.15 13:08,,,
2015.09.07_G3_M7 (M)_BCG_old.0.95,11,M,BCG,live,2015.09.14 17:15,5.53,19.88333333,7,2015.09.15 13:08,,,
2015.10.10_G4_M1 (F)_saline_new.0.85,12,F,saline,live,2015.10.17 18:55,4.09,18.33333333,4,2015.10.18 13:15,3.98,0.11,2.689486553
2015.10.10_G4_M3 (F)_saline_new.0.85,12,F,saline,die,2015.10.17 18:55,3.46,18.33333333,2,2015.10.18 13:15,3.31,0.15,4.335260116
2015.10.10_G4_M4 (M)_saline_new.0.85,12,M,saline,die,2015.10.17 18:55,3.98,18.33333333,3,2015.10.18 13:15,3.81,0.17,4.271356784
2015.10.10_G4_M5 (M)_saline_new.0.95,12,M,saline,live,2015.10.17 18:55,4.11,18.33333333,3,2015.10.18 13:15,3.99,0.12,2.919708029
2015.10.10_G4_M6 (F)_saline_new.0.95,12,F,saline,live,2015.10.17 18:55,3.49,18.33333333,6,2015.10.18 13:15,3.35,0.14,4.011461318
2015.10.10_G4_M7 (M)_saline_new.0.95,12,M,saline,live,2015.10.17 18:55,3.93,18.33333333,6,2015.10.18 13:15,3.77,0.16,4.071246819
2015.10.10_G5_M1 (F)_saline_new.0.85,13,F,saline,live,2015.10.17 19:20,3.77,18.16666667,4,2015.10.18 13:30,3.66,0.11,2.917771883
2015.10.10_G5_M2 (M)_saline_new.0.85,13,M,saline,live,2015.10.17 19:20,4.2,18.16666667,8,2015.10.18 13:30,4.24,-0.04,-0.952380952
2015.10.10_G5_M3 (F)_saline_new.0.85,13,F,saline,live,2015.10.17 19:20,3.83,18.16666667,2,2015.10.18 13:30,3.66,0.17,4.438642298
2015.10.10_G5_M4 (M)_saline_new.0.85,13,M,saline,live,2015.10.17 19:20,3.76,18.16666667,5,2015.10.18 13:30,3.63,0.13,3.457446809
2015.10.10_G5_M5 (F)_saline_new.0.85,13,F,saline,live,2015.10.17 19:20,3.3,18.16666667,5,2015.10.18 13:30,3.19,0.11,3.333333333
2015.10.10_G5_M6 (F)_saline_new.0.95,13,F,saline,die,2015.10.17 19:20,3.78,18.16666667,2,2015.10.18 13:30,3.65,0.13,3.439153439
2015.10.10_G5_M7 (F)_saline_new.0.95,13,F,saline,die,2015.10.17 19:20,3.57,18.16666667,0,2015.10.18 13:30,3.51,0.06,1.680672269
2015.10.10_G5_M8 (M)_saline_new.0.95,13,M,saline,live,2015.10.17 19:20,3.8,18.16666667,4,2015.10.18 13:30,3.65,0.15,3.947368421
2015.10.10_G5_M9 (F)_saline_new.0.95,13,F,saline,live,2015.10.17 19:20,3.38,18.16666667,5,2015.10.18 13:30,3.56,-0.18,-5.325443787
2015.10.11_G7_M1 (F)_BCG_old.0.95,14,F,BCG,live,2015.10.18 18:25,5.75,18.41666667,7,2015.10.19 12:50,5.41,0.34,5.913043478
2015.10.11_G7_M3 (F)_Sauton_old.0.95,14,F,Sauton,live,2015.10.18 18:25,5.93,18.41666667,7,2015.10.19 12:50,5.56,0.37,6.239460371
2015.10.12_G8_M1 (M)_saline_new.1.0,15,M,saline,die,2015.10.19 18:35,4.16,18.41666667,6,2015.10.20 13:00,4.08,0.08,1.923076923
2015.10.12_G8_M2 (M)_saline_new.1.0,15,M,saline,die,2015.10.19 18:35,4.75,18.41666667,6,2015.10.20 13:00,4.44,0.31,6.526315789
2015.10.12_G8_M3 (F)_saline_new.1.0,15,F,saline,die,2015.10.19 18:35,4.67,18.41666667,2,2015.10.20 13:00,4.38,0.29,6.209850107
2015.10.12_G8_M4 (M)_saline_new.1.0,15,M,saline,die,2015.10.19 18:35,4.7,18.41666667,4,2015.10.20 13:00,4.53,0.17,3.617021277
2015.10.12_G8_M5 (M)_saline_new.1.1,15,M,saline,die,2015.10.19 18:35,4.54,18.41666667,2,2015.10.20 13:00,,,
2015.10.12_G8_M6 (F)_saline_new.1.1,15,F,saline,die,2015.10.19 18:35,4.64,18.41666667,2,2015.10.20 13:00,4.43,0.21,4.525862069
2015.10.12_G8_M7 (M)_saline_new.1.1,15,M,saline,die,2015.10.19 18:35,4.63,18.41666667,2,2015.10.20 13:00,4.38,0.25,5.399568035
2015.10.12_G9_M1 (M)_BCG_NA,16,M,BCG,die,2015.10.19 19:15,4.8,17.83333333,3,2015.10.20 13:05,4.77,0.03,0.625
2015.10.12_G9_M2 (F)_BCG_NA,16,F,BCG,die,2015.10.19 19:15,4.39,17.83333333,2,2015.10.20 13:05,4.36,0.03,0.683371298
2015.10.12_G9_M3 (F)_Saut_NA,16,F,Sauton,die,2015.10.19 19:15,4.54,17.83333333,3,2015.10.20 13:05,4.48,0.06,1.321585903
2015.10.12_G9_M4 (F)_Saut_NA,16,F,Sauton,die,2015.10.19 19:15,4.36,17.83333333,3,2015.10.20 13:05,4.42,-0.06,-1.376146789
2015.10.25_G2_M1 (F)_Sauton_old.0.95,17,F,Sauton,die,2015.11.02 14:10,4.37,17.58333333,6,2015.11.03 10:40,,,
2015.10.25_G2_M2 (M)_Sauton_old.0.95,17,M,Sauton,die,2015.11.02 14:10,3.49,17.58333333,2,2015.11.03 10:40,,,
2015.10.25_G2_M3 (F)_Sauton_old.0.95,17,F,Sauton,die,2015.11.02 14:10,4.32,17.58333333,5,2015.11.03 10:40,,,
2015.10.25_G2_M4 (M)_Sauton_old.0.95,17,M,Sauton,die,2015.11.02 14:10,4.1,17.58333333,4,2015.11.03 10:40,,,
2015.10.25_G2_M5 (F)_Sauton_old.0.95,17,F,Sauton,die,2015.11.02 14:10,4.71,17.58333333,6,2015.11.03 10:40,,,
2015.10.25_G2_M6 (M)_Sauton_old.0.95,17,M,Sauton,die,2015.11.02 14:10,5.49,17.58333333,5,2015.11.03 10:40,,,
2015.10.25_G2_M7 (M)_BCG_old.0.95,17,M,BCG,die,2015.11.02 14:10,3.8,17.58333333,6,2015.11.03 10:40,,,
2015.10.25_G2_M8 (F)_BCG_old.0.95,17,F,BCG,die,2015.11.02 14:10,4.45,17.58333333,5,2015.11.03 10:40,,,
2015.10.25_G2_M9 (M)_BCG_old.0.95,17,M,BCG,die,2015.11.02 14:10,4.06,17.58333333,4,2015.11.03 10:40,,,
2015.10.25_G2_M10 (F)_BCG_old.0.95,17,F,BCG,die,2015.11.02 14:10,4.11,17.58333333,2,2015.11.03 10:40,,,
2015.10.25_G2_M11 (M)_BCG_old.0.95,17,M,BCG,die,2015.11.02 14:10,4.41,17.58333333,5,2015.11.03 10:40,,,
2015.10.27_G6_M1 (F)_BCG_old.0.95,18,F,BCG,live,2015.11.04 17:45,4.79,18.66666667,4,2015.11.05 12:25,4.48,0.31,6.471816284
2015.10.27_G6_M2 (M)_BCG_old.0.95,18,M,BCG,live,2015.11.04 17:45,4.72,18.66666667,7,2015.11.05 12:25,4.7,0.02,0.423728814
2015.10.27_G6_M3 (F)_BCG_old.0.95,18,F,BCG,live,2015.11.04 17:45,4.89,18.66666667,4,2015.11.05 12:25,4.77,0.12,2.45398773
2015.10.27_G6_M4 (F)_Sauton_old.0.95,18,F,Sauton,live,2015.11.04 17:45,4.92,18.66666667,4,2015.11.05 12:25,4.7,0.22,4.471544715
2015.10.27_G6_M5 (F)_Sauton_old.0.95,18,F,Sauton,die,2015.11.04 17:45,4.68,18.66666667,4,2015.11.05 12:25,4.44,0.24,5.128205128
2015.10.27_G6_M6 (F)_Sauton_old.0.95,18,F,Sauton,die,2015.11.04 17:45,4.7,18.66666667,7,2015.11.05 12:25,4.56,0.14,2.978723404
2015.10.8_G3_M1 (F)_no.vaccination_new.0.85,19,F,no.vaccination,live,2015.10.15 18:50,3.27,17.91666667,5,2015.10.16 12:45,,,
2015.10.8_G3_M2 (M)_no.vaccination_new.0.85,19,M,no.vaccination,live,2015.10.15 18:50,3.26,17.91666667,6,2015.10.16 12:45,,,
2015.10.8_G3_M3 (F)_no.vaccination_new.0.85,19,F,no.vaccination,live,2015.10.15 18:50,3.63,17.91666667,3,2015.10.16 12:45,,,
2015.10.8_G3_M4 (M)_no.vaccination_new.0.85,19,M,no.vaccination,die,2015.10.15 18:50,3.22,17.91666667,5,2015.10.16 12:45,,,
2015.10.8_G3_M5 (F)_no.vaccination_new.0.85,19,F,no.vaccination,die,2015.10.15 18:50,3.32,17.91666667,3,2015.10.16 12:45,,,
2015.10.8_G3_M6 (F)_sauton_new.0.95,19,F,Sauton,live,2015.10.15 18:50,2.51,17.91666667,5,2015.10.16 12:45,,,
2015.10.8_G3_M7 (F)_sauton_new.0.95,19,F,Sauton,die,2015.10.15 18:50,3.21,17.91666667,3,2015.10.16 12:45,,,
2015.10.8_G3_M8 (M)_sauton_new.0.95,19,M,Sauton,die,2015.10.15 18:50,3.57,17.91666667,6,2015.10.16 12:45,,,
2015.10.8_G3_M9 (F)_sauton_new.0.95,19,F,Sauton,die,2015.10.15 18:50,3.08,17.91666667,4,2015.10.16 12:45,,,
2015.10.8_G3_M10 (M)_sauton_new.0.95,19,M,Sauton,die,2015.10.15 18:50,3.39,17.91666667,3,2015.10.16 12:45,,,
2015.11.09_G1_M1 (M)_BCG_new.0.95,20,M,BCG,die,2015.11.16 17:20,4.01,18.41666667,4,2015.11.17 13:00,,,
2015.11.09_G1_M2 (M)_BCG_new.0.95,20,M,BCG,die,2015.11.16 17:20,3.83,18.41666667,4,2015.11.17 13:00,,,
2015.11.09_G1_M5 (M)_Sauton_new.0.95,20,M,Sauton,die,2015.11.16 17:20,4.07,18.41666667,2,2015.11.17 13:00,,,
2015.11.09_G1_M6 (M)_Sauton_new.0.95,20,M,Sauton,die,2015.11.16 17:20,4.08,18.41666667,4,2015.11.17 13:00,,,
2015.11.09_G1_M7 (F)_Sauton_new.0.95,20,F,Sauton,die,2015.11.16 17:20,3.96,18.41666667,2,2015.11.17 13:00,,,
2015.11.09_G1_M8 (F)_Sauton_new.0.95,20,F,Sauton,die,2015.11.16 17:20,3.95,18.41666667,4,2015.11.17 13:00,,,
2015.11.10_G2_M1 (M)_Sauton_new.0.95,21,M,Sauton,live,2015.11.18 17:55,3.23,18.92,7,2015.11.19 13:30,,,
2015.11.10_G2_M3 (M)_Sauton_new.0.95,21,M,Sauton,die,2015.11.18 17:55,3.17,18.92,4,2015.11.19 13:30,,,
2015.11.10_G2_M4 (F)_Sauton_new.0.95,21,F,Sauton,die,2015.11.18 17:55,3.4,18.92,6,2015.11.19 13:30,,,
2015.11.10_G2_M5 (F)_BCG_new.0.95,21,F,BCG,live,2015.11.18 17:55,3.31,18.92,5,2015.11.19 13:30,,,
2015.11.10_G2_M6 (M)_BCG_new.0.95,21,M,BCG,live,2015.11.18 17:55,3.43,18.92,5,2015.11.19 13:30,,,
2015.11.10_G2_M7 (F)_BCG_new.0.95,21,F,BCG,live,2015.11.18 17:55,3.44,18.92,3,2015.11.19 13:30,,,
2015.11.10_G2_M8 (M)_BCG_new.0.95,21,M,BCG,live,2015.11.18 17:55,3.13,18.92,3,2015.11.19 13:30,,,
2015.11.10_G3_M1 (M)_BCG_new.0.95,22,M,BCG,die,2015.11.19 18:10,3.68,18.83,3,2015.11.20 13:00,3.47,0.21,5.706521739
2015.11.10_G3_M2 (F)_BCG_new.0.95,22,F,BCG,die,2015.11.19 18:10,3.78,18.83,2,2015.11.20 13:00,3.55,0.23,6.084656085
2015.11.10_G3_M3 (M)_BCG_new.0.95,22,M,BCG,live,2015.11.19 18:10,3.65,18.83,5,2015.11.20 13:00,3.87,-0.22,-6.02739726
2015.11.10_G3_M4 (F)_BCG_new.0.95,22,F,BCG,die,2015.11.19 18:10,3.58,18.83,3,2015.11.20 13:00,3.37,0.21,5.865921788
2015.11.10_G3_M5 (F)_Sauton_new.0.95,22,F,Sauton,die,2015.11.19 18:10,3.8,18.83,4,2015.11.20 13:00,3.6,0.2,5.263157895
2015.11.10_G3_M6 (M)_Sauton_new.0.95,22,M,Sauton,die,2015.11.19 18:10,3.82,18.83,0,2015.11.20 13:00,3.69,0.13,3.403141361
2015.11.10_G3_M7 (F)_Sauton_new.0.95,22,F,Sauton,die,2015.11.19 18:10,3.86,18.83,0,2015.11.20 13:00,3.64,0.22,5.699481865
2015.11.30_G4_M1 (F)_Sauton_new.0.95,23,F,Sauton,die,2015.12.07 17:55,3.61,18.58,4,2015.12.08 12:30,3.39,0.22,6.094182825
2015.11.30_G4_M2 (M)_Sauton_new.0.95,23,M,Sauton,live,2015.12.07 17:55,3.75,18.58,8,2015.12.08 12:30,4.19,-0.44,-11.73333333
2015.11.30_G4_M4 (M)_BCG_new.0.95,23,M,BCG,live,2015.12.07 17:55,3.71,18.58,8,2015.12.08 12:30,3.65,0.06,1.617250674
2015.11.30_G4_M5 (M)_new.BCG_new.0.95,23,M,new.BCG,live,2015.12.07 17:55,3.66,18.58,8,2015.12.08 12:30,3.54,0.12,3.278688525
2015.11.30_G4_M6 (M)_new.BCG_new.0.95,23,M,new.BCG,live,2015.12.07 17:55,3.53,18.58,7,2015.12.08 12:30,3.4,0.13,3.682719547
2015.11.30_G5_M2 (F)_Sauton_new.0.95,24,F,Sauton,live,2015.12.07 18:20,4.65,18.42,7,2015.12.8 12:45,4.64,0.01,0.215053763
2015.11.30_G5_M3 (M)_BCG_new.0.95,24,M,BCG,die,2015.12.07 18:20,4.6,18.42,3,2015.12.8 12:45,4.48,0.12,2.608695652
2015.11.30_G5_M4 (F)_BCG_new.0.95,24,F,BCG,live,2015.12.07 18:20,4.62,18.42,7,2015.12.8 12:45,4.43,0.19,4.112554113
2015.11.30_G5_M5 (F)_new.BCG_new.0.95,24,F,new.BCG,live,2015.12.07 18:20,3.9,18.42,3,2015.12.8 12:45,3.82,0.08,2.051282051
2015.11.30_G5_M6 (M)_new.BCG_new.0.95,24,M,new.BCG,live,2015.12.07 18:20,4.65,18.42,7,2015.12.8 12:45,4.43,0.22,4.731182796
2015.11.30_G5_M7 (F)_new.BCG_new.0.95,24,F,new.BCG,live,2015.12.07 18:20,4.54,18.42,6,2015.12.8 12:45,4.35,0.19,4.185022026
2015.11.30_G6_M2 (F)_new.BCG_new.0.95,25,F,new.BCG,live,2015.12.07 18:45,4.25,18.33333333,6,2015.12.08 13:50,4,0.25,5.882352941
2015.11.30_G6_M3 (F)_new.BCG_new.0.95,25,F,new.BCG,die,2015.12.07 18:45,3.72,18.33333333,2,2015.12.08 13:50,3.61,0.11,2.956989247
2015.11.30_G6_M4 (M)_Sauton_new.0.95,25,M,Sauton,die,2015.12.07 18:45,4.11,18.33333333,0,2015.12.08 13:50,4.02,0.09,2.189781022
2015.11.30_G6_M5 (F)_Sauton_new.0.95,25,F,Sauton,die,2015.12.07 18:45,3.79,18.33333333,0,2015.12.08 13:50,3.68,0.11,2.90237467
2015.11.30_G6_M6 (F)_BCG_new.0.95,25,F,BCG,live,2015.12.07 18:45,4.26,18.33333333,7,2015.12.08 13:50,4.26,0,0
