"","pupID","outcome","age.challenge","sex","chal.time","litterID","chal.status","weight.challenge","dob.pups","v18.hour.post.challenge","v24.hour.post.challenge","v24.weight","weight.change.0.24","weight.change.0.18","weight.change.18.24","direction.of.weight.change.18.24","v18.score.high","v18.score.low","v24.score.high","v24.score.low","change.score.high","change.score.low","removed"
"1","F2.m.G1.2015-08-20","die",8,"m","7:34:00 PM","G1.2015-08-20","challenged",4.76,"8/20/2015",16.93,23.93,4.5,-0.26,-0.135,-0.125,"lose",3,3,6,6,3,3,"keep"
"2","F3.m.G1.2015-08-20","die",8,"m","7:34:00 PM","G1.2015-08-20","challenged",4.54,"8/20/2015",16.93,23.93,4.32,-0.22,-0.105,-0.115,"lose",6,6,2,0,-4,-6,"keep"
"3","F4.f.G1.2015-08-20","live",8,"f","7:34:00 PM","G1.2015-08-20","challenged",4.54,"8/20/2015",16.93,23.93,4.24,-0.3,-0.17,-0.13,"lose",6,3,8,8,2,5,"keep"
"4","F1.m.F3.2015-08-27","live",9,"m","8:00:00 PM","F3.2015-08-27","challenged",5.91,"8/27/2015",16.33,21.5,5.71,-0.2,-0.105,-0.0949999999999998,"lose",6,6,8,8,2,2,"remove"
"5","F2.f.F3.2015-08-27","live",9,"f","8:00:00 PM","F3.2015-08-27","challenged",6.06,"8/27/2015",16.33,21.5,5.39,-0.67,-0.42,-0.25,"lose",6,6,8,8,2,2,"remove"
"6","R1.m.F2.2015-08-29","die",7,"m","8:00:00 PM","F2.2015-08-29","challenged",5.69,"8/29/2015",15.33,21.5,5.47,-0.220000000000001,-0.100000000000001,-0.12,"lose",6,6,6,2,0,-4,"remove"
"7","R2.f.F1.2015-08-29","die",7,"f","8:00:00 PM","F1.2015-08-29","challenged",3.8,"8/29/2015",16.25,21.5,3.7,-0.0999999999999996,-0.0199999999999996,-0.0800000000000001,"lose",2,2,0,0,-2,-2,"keep"
"8","R3.f.F1.2015-08-29","live",7,"f","8:00:00 PM","F1.2015-08-29","challenged",3.54,"8/29/2015",16.25,21.5,3.4,-0.14,-0.0650000000000004,-0.0749999999999997,"lose",3,3,6,6,3,3,"keep"
"9","F1.f.G2.2015-09-05","die",8,"f","8:10:00 PM","G2.2015-09-05","challenged",4.9,"9/5/2015",20,27.33,4.44,-0.46,-0.375,-0.085,"lose",6,3,0,0,-6,-3,"keep"
"10","F2.m.G2.2015-09-05","die",8,"m","8:10:00 PM","G2.2015-09-05","challenged",5.2,"9/5/2015",20,27.33,4.78,-0.42,-0.325,-0.0949999999999998,"lose",6,6,0,0,-6,-6,"keep"
"11","F3.f.G2.2015-09-05","die",8,"f","8:10:00 PM","G2.2015-09-05","challenged",5.12,"9/5/2015",20,27.33,4.59,-0.53,-0.45,-0.0800000000000001,"lose",7,7,0,0,-7,-7,"keep"
"12","F4.m.G2.2015-09-05","die",8,"m","8:10:00 PM","G2.2015-09-05","challenged",4.68,"9/5/2015",20,27.33,4.25,-0.43,-0.275,-0.154999999999999,"lose",6,6,2,2,-4,-4,"keep"
"13","F1.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",3.72,"10/7/2015",18.17,23.92,3.56,-0.16,-0.0850000000000004,-0.0749999999999997,"lose",6,6,5,5,-1,-1,"remove"
"14","F2.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",3.93,"10/7/2015",18.17,23.92,3.7,-0.23,-0.11,-0.12,"lose",5,3,5,2,0,-1,"remove"
"15","F3.f.G2.2015-10-07","die",8,"f","6:25:00 PM","G2.2015-10-07","challenged",3.1,"10/7/2015",18.17,23.92,3.05,-0.0500000000000003,0.02,-0.0700000000000003,"lose",6,2,5,2,-1,0,"remove"
"16","F4.f.G2.2015-10-07","die",8,"f","6:25:00 PM","G2.2015-10-07","challenged",3.67,"10/7/2015",18.17,23.92,3.46,-0.21,-0.115,-0.0949999999999998,"lose",6,6,6,6,0,0,"remove"
"17","R1.f.G2.2015-10-07","die",8,"f","6:25:00 PM","G2.2015-10-07","challenged",3.7,"10/7/2015",18.17,23.92,3.5,-0.2,-0.11,-0.0899999999999999,"lose",5,3,7,7,2,4,"keep"
"18","R2.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",3.89,"10/7/2015",18.17,23.92,3.71,-0.18,-0.0350000000000001,-0.145,"lose",5,3,5,5,0,2,"keep"
"19","R3.f.G2.2015-10-07","live",8,"f","6:25:00 PM","G2.2015-10-07","challenged",4.24,"10/7/2015",18.17,23.92,3.87,-0.37,-0.25,-0.12,"lose",5,3,7,7,2,4,"keep"
"20","R4.m.G2.2015-10-07","die",8,"m","6:25:00 PM","G2.2015-10-07","challenged",4.02,"10/7/2015",18.17,23.92,3.87,-0.149999999999999,-0.0449999999999995,-0.105,"lose",3,3,7,7,4,4,"keep"
"21","F2.m.G3.2015-10-08","live",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.26,"10/8/2015",17.92,23.5,3.27,0.0100000000000002,-0.0199999999999996,0.0299999999999998,"gain",6,6,5,5,-1,-1,"keep"
"22","F3.f.G3.2015-10-08","live",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.63,"10/8/2015",17.92,23.5,3.48,-0.15,-0.0499999999999998,-0.1,"lose",3,3,7,3,4,0,"keep"
"23","F4.m.G3.2015-10-08","die",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.22,"10/8/2015",17.92,23.5,3.05,-0.17,-0.0800000000000005,-0.0899999999999999,"lose",5,5,5,5,0,0,"keep"
"24","F5.f.G3.2015-10-08","die",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.32,"10/8/2015",17.92,23.5,3.17,-0.15,-0.0499999999999998,-0.1,"lose",3,3,5,2,2,-1,"keep"
"25","R1.f.G3.2015-10-08","live",7,"f","6:50:00 PM","G3.2015-10-08","challenged",2.51,"10/8/2015",17.92,23.5,2.51,0,-0.04,0.04,"gain",5,5,6,6,1,1,"remove"
"26","R2.f.G3.2015-10-08","die",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.05,"10/8/2015",17.92,23.5,3.08,0.0300000000000002,0.105,-0.0750000000000002,"lose",3,3,2,2,-1,-1,"remove"
"27","R3.m.G3.2015-10-08","die",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.34,"10/8/2015",17.92,23.5,3.48,0.14,0.195,-0.0550000000000002,"lose",6,6,5,3,-1,-3,"remove"
"28","R4.f.G3.2015-10-08","die",7,"f","6:50:00 PM","G3.2015-10-08","challenged",3.05,"10/8/2015",17.92,23.5,2.98,-0.0699999999999998,-0.0149999999999997,-0.0550000000000002,"lose",5,3,2,2,-3,-1,"remove"
"29","R5.m.G3.2015-10-08","die",7,"m","6:50:00 PM","G3.2015-10-08","challenged",3.35,"10/8/2015",17.92,23.5,3.26,-0.0900000000000003,-0.0100000000000002,-0.0800000000000001,"lose",3,3,2,2,-1,-1,"remove"
"30","F1.f.G4.2015-10-10","live",7,"f","6:55:00 PM","G4.2015-10-10","challenged",4.09,"10/10/2015",18.33,24.17,3.77,-0.32,-0.11,-0.21,"lose",6,3,5,5,-1,2,"keep"
"31","F1.f.G5.2015-10-10","live",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.77,"10/10/2015",18.17,24.08,3.52,-0.25,-0.11,-0.14,"lose",7,3,7,7,0,4,"keep"
"32","F2.m.G5.2015-10-10","live",7,"m","7:20:00 PM","G5.2015-10-10","challenged",4.2,"10/10/2015",18.17,24.08,4.44,0.24,0.04,0.2,"gain",8,8,8,8,0,0,"keep"
"33","F3.f.G4.2015-10-10","die",7,"f","6:55:00 PM","G4.2015-10-10","challenged",3.46,"10/10/2015",18.33,24.17,3.23,-0.23,-0.15,-0.0800000000000001,"lose",2,2,5,2,3,0,"keep"
"34","F3.f.G5.2015-10-10","live",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.83,"10/10/2015",18.17,24.08,3.56,-0.27,-0.17,-0.1,"lose",2,2,5,5,3,3,"keep"
"35","F4.m.G4.2015-10-10","die",7,"m","6:55:00 PM","G4.2015-10-10","challenged",3.98,"10/10/2015",18.33,24.17,3.66,-0.32,-0.17,-0.15,"lose",3,3,5,5,2,2,"keep"
"36","F4.m.G5.2015-10-10","live",7,"m","7:20:00 PM","G5.2015-10-10","challenged",3.76,"10/10/2015",18.17,24.08,3.52,-0.24,-0.13,-0.11,"lose",5,5,6,6,1,1,"keep"
"37","F5.f.G5.2015-10-10","live",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.3,"10/10/2015",18.17,24.08,3.14,-0.16,-0.11,-0.0499999999999998,"lose",5,5,8,8,3,3,"keep"
"38","R1.f.G5.2015-10-10","die",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.78,"10/10/2015",18.17,24.08,3.59,-0.19,-0.13,-0.0600000000000001,"lose",2,2,5,2,3,0,"keep"
"39","R1.m.G4.2015-10-10","live",7,"m","6:55:00 PM","G4.2015-10-10","challenged",4.11,"10/10/2015",18.33,24.17,3.92,-0.19,-0.12,-0.0700000000000003,"lose",3,3,5,5,2,2,"keep"
"40","R2.f.G4.2015-10-10","live",7,"f","6:55:00 PM","G4.2015-10-10","challenged",3.49,"10/10/2015",18.33,24.17,3.4,-0.0900000000000003,-0.14,0.0499999999999998,"gain",6,6,6,3,0,-3,"keep"
"41","R3.m.G4.2015-10-10","live",7,"m","6:55:00 PM","G4.2015-10-10","challenged",3.93,"10/10/2015",18.33,24.17,3.69,-0.24,-0.16,-0.0800000000000001,"lose",6,6,7,7,1,1,"keep"
"42","R3.m.G5.2015-10-10","live",7,"m","7:20:00 PM","G5.2015-10-10","challenged",3.8,"10/10/2015",18.17,24.08,3.6,-0.2,-0.15,-0.0499999999999998,"lose",5,3,7,7,2,4,"keep"
"43","R4.f.G5.2015-10-10","live",7,"f","7:20:00 PM","G5.2015-10-10","challenged",3.38,"10/10/2015",18.17,24.08,3.59,0.21,0.18,0.0299999999999998,"gain",5,5,5,5,0,0,"remove"
"44","R1.f.G6.2015-10-27","live",8,"f","5:45:00 PM","G6.2015-10-27","challenged",4.92,"10/27/2015",18.67,23.92,4.56,-0.36,-0.15,-0.21,"lose",6,2,6,6,0,4,"keep"
"45","R3.f.G6.2015-10-27","die",8,"f","5:45:00 PM","G6.2015-10-27","challenged",4.7,"10/27/2015",18.67,23.92,4.35,-0.350000000000001,-0.140000000000001,-0.21,"lose",7,7,6,3,-1,-4,"keep"
"46","R1.m.G1.2015-11-09","die",7,"m","6:35:00 PM","G1.2015-11-09","challenged",4.07,"11/9/2015",18.42,23.75,3.81,-0.26,-0.17,-0.0900000000000003,"lose",2,2,0,0,-2,-2,"remove"
"47","R2.m.G1.2015-11-09","die",7,"m","6:35:00 PM","G1.2015-11-09","challenged",4.08,"11/9/2015",18.42,23.75,3.83,-0.25,-0.18,-0.0700000000000003,"lose",5,3,2,2,-3,-1,"remove"
"48","R3.f.G1.2015-11-09","die",7,"f","6:35:00 PM","G1.2015-11-09","challenged",3.96,"11/9/2015",18.42,23.75,3.7,-0.26,-0.17,-0.0899999999999999,"lose",2,2,2,2,0,0,"remove"
"49","F1.m.G2.2015-11-10","live",8,"m","6:35:00 PM","G2.2015-11-10","challenged",3.23,"11/10/2015",18.92,23.92,3.14,-0.0899999999999999,-0.115,0.0249999999999999,"gain",7,5,7,7,0,2,"keep"
"50","F3.m.G2.2015-11-10","die",8,"m","6:35:00 PM","G2.2015-11-10","challenged",3.17,"11/10/2015",18.92,23.92,3,-0.17,-0.085,-0.085,"lose",5,3,3,2,-2,-1,"keep"
"51","F4.f.G2.2015-11-10","die",8,"f","6:35:00 PM","G2.2015-11-10","challenged",3.4,"11/10/2015",18.92,23.92,3.13,-0.27,-0.12,-0.15,"lose",6,5,5,5,-1,0,"keep"
"52","F1.f.G4.2015-11-30","die",7,"f","5:55:00 PM","G4.2015-11-30","challenged",3.61,"11/30/2015",15.17,23.58,3.36,-0.25,-0.13,-0.12,"lose",5,2,0,0,-5,-2,"keep"
"53","F2.m.G4.2015-11-30","live",7,"m","5:55:00 PM","G4.2015-11-30","challenged",3.75,"11/30/2015",15.17,23.58,4.23,0.48,0.2,0.28,"gain",8,8,8,8,0,0,"keep"
"54","R1.f.G6.2016-01-21","live",7,"f","2:15:00 PM","G6.2016-01-21","challenged",3.9,"1/21/2016",16.42,23.83,3.44,-0.46,-0.22,-0.24,"lose",6,3,5,3,-1,0,"remove"
"55","R1.f.G7.2016-01-21","die",7,"f","2:45:00 PM","G7.2016-01-21","challenged",4.02,"1/21/2016",16.25,23.75,3.66,-0.359999999999999,-0.16,-0.2,"lose",6,6,2,2,-4,-4,"keep"
"56","R3.f.G6.2016-01-21","live",7,"f","2:15:00 PM","G6.2016-01-21","challenged",3.95,"1/21/2016",16.42,23.83,3.4,-0.55,-0.35,-0.2,"lose",5,3,7,7,2,4,"remove"
"57","F1.f.G2.2016-03-22","live",8,"f","6:00:00 PM","G2.2016-03-22","challenged",3.74,"3/22/2016",18.25,24.08,3.6,-0.14,-0.0500000000000003,-0.0899999999999999,"lose",3,3,6,5,3,2,"keep"
"58","F1.f.G3.2016-03-22","live",8,"f","6:20:00 PM","G3.2016-03-22","challenged",4.09,"3/22/2016",18.25,24,4.7,0.61,0.600000000000001,0.00999999999999979,"gain",6,3,8,8,2,5,"keep"
"59","F2.m.G2.2016-03-22","die",8,"m","6:00:00 PM","G2.2016-03-22","challenged",3.95,"3/22/2016",18.25,24.08,3.73,-0.22,-0.14,-0.0800000000000001,"lose",5,2,6,3,1,1,"keep"
"60","F2.m.G3.2016-03-22","die",8,"m","6:20:00 PM","G3.2016-03-22","challenged",3.13,"3/22/2016",18.25,24,2.96,-0.17,-0.13,-0.04,"lose",2,2,0,0,-2,-2,"keep"
"61","F3.f.G3.2016-03-22","die",8,"f","6:20:00 PM","G3.2016-03-22","challenged",4.53,"3/22/2016",18.25,24,4.25,-0.28,-0.21,-0.0700000000000003,"lose",5,2,0,0,-5,-2,"keep"
"62","F4.m.G3.2016-03-22","die",8,"m","6:20:00 PM","G3.2016-03-22","challenged",4.19,"3/22/2016",18.25,24,3.89,-0.3,-0.26,-0.04,"lose",5,2,0,0,-5,-2,"keep"
"63","R2.f.G3.2016-03-22","die",8,"f","6:20:00 PM","G3.2016-03-22","challenged",3.92,"3/22/2016",18.25,24,3.75,-0.17,-0.1,-0.0699999999999998,"lose",2,2,0,0,-2,-2,"keep"
"64","R2.m.G2.2016-03-22","die",8,"m","6:00:00 PM","G2.2016-03-22","challenged",3.75,"3/22/2016",18.25,24.08,3.49,-0.26,-0.1,-0.16,"lose",3,3,3,3,0,0,"keep"
"65","R3.f.G2.2016-03-22","die",8,"f","6:00:00 PM","G2.2016-03-22","challenged",3.64,"3/22/2016",18.25,24.08,3.44,-0.2,-0.13,-0.0699999999999998,"lose",5,3,5,3,0,0,"keep"
"66","R3.m.G3.2016-03-22","die",8,"m","6:20:00 PM","G3.2016-03-22","challenged",4.33,"3/22/2016",18.25,24,4.09,-0.24,-0.12,-0.12,"lose",5,3,0,0,-5,-3,"keep"
"67","F1.m.G5.2016-04-08","live",8,"m","5:30:00 PM","G5.2016-04-08","challenged",3.03,"4/8/2016",15.25,25.42,2.89,-0.14,0.0100000000000002,-0.15,"lose",3,3,7,6,4,3,"remove"
"68","F2.f.G5.2016-04-08","live",8,"f","5:30:00 PM","G5.2016-04-08","challenged",3.81,"4/8/2016",15.25,25.42,3.52,-0.29,-0.0699999999999998,-0.22,"lose",3,2,6,3,3,1,"remove"
"69","F3.m.G5.2016-04-08","live",8,"m","5:30:00 PM","G5.2016-04-08","challenged",4.39,"4/8/2016",15.25,25.42,4.14,-0.25,-0.0699999999999994,-0.180000000000001,"lose",3,3,8,8,5,5,"remove"
"70","F4.f.G5.2016-04-08","live",8,"f","5:30:00 PM","G5.2016-04-08","challenged",4.38,"4/8/2016",15.25,25.42,4.09,-0.29,-0.0800000000000001,-0.21,"lose",5,2,8,8,3,6,"remove"
"71","R1.m.G5.2016-04-08","live",8,"m","5:30:00 PM","G5.2016-04-08","challenged",2.44,"4/8/2016",15.25,25.42,2.49,0.0500000000000003,-0.0600000000000001,0.11,"gain",5,3,6,5,1,2,"remove"
"72","R3.f.G5.2016-04-08","live",8,"f","5:30:00 PM","G5.2016-04-08","challenged",4.22,"4/8/2016",15.25,25.42,4,-0.22,-0.0899999999999999,-0.13,"lose",3,2,6,6,3,4,"remove"
"73","R4.m.G5.2016-04-08","live",8,"m","5:30:00 PM","G5.2016-04-08","challenged",4.46,"4/8/2016",15.25,25.42,4.22,-0.24,-0.0599999999999996,-0.180000000000001,"lose",6,5,7,7,1,2,"remove"
"74","F1.m.G9.2016-04-15","die",8,"m","5:25:00 PM","G9.2016-04-15","challenged",3.71,"4/15/2016",15.08,24,3.53,-0.18,-0.0299999999999998,-0.15,"lose",3,2,0,0,-3,-2,"remove"
"75","F2.f.G9.2016-04-15","die",8,"f","5:25:00 PM","G9.2016-04-15","challenged",3.44,"4/15/2016",15.08,24,3.28,-0.16,-0.0699999999999998,-0.0900000000000003,"lose",5,3,0,0,-5,-3,"remove"
"76","F4.f.G9.2016-04-15","die",8,"f","5:25:00 PM","G9.2016-04-15","challenged",3.75,"4/15/2016",15.08,24,3.53,-0.22,-0.1,-0.12,"lose",2,2,6,2,4,0,"remove"
"77","R1.f.G9.2016-04-15","die",8,"f","5:25:00 PM","G9.2016-04-15","challenged",3.68,"4/15/2016",15.08,24,3.42,-0.26,-0.11,-0.15,"lose",6,2,3,2,-3,0,"remove"
"78","R2.m.G9.2016-04-15","die",8,"m","5:25:00 PM","G9.2016-04-15","challenged",3.33,"4/15/2016",15.08,24,3.14,-0.19,-0.0600000000000001,-0.13,"lose",3,3,2,2,-1,-1,"remove"
"79","R4.m.G9.2016-04-15","die",8,"m","5:25:00 PM","G9.2016-04-15","challenged",3.61,"4/15/2016",15.08,24,3.46,-0.15,0.0600000000000001,-0.21,"lose",8,8,2,2,-6,-6,"remove"
"80","F1.f.G1.2016-05-08","live",8,"f","5:45:00 PM","G1.2016-05-08","challenged",4.38,"5/8/2016",18.83,24.17,4.2,-0.18,-0.18,0,"lose",7,7,7,7,0,0,"remove"
"81","F3.f.G1.2016-05-08","live",8,"f","5:45:00 PM","G1.2016-05-08","challenged",4.85,"5/8/2016",18.83,24.17,4.37,-0.48,-0.22,-0.26,"lose",7,6,8,8,1,2,"remove"
"82","R1.m.G1.2016-05-08","live",8,"m","5:45:00 PM","G1.2016-05-08","challenged",4.9,"5/8/2016",18.83,24.17,5.68,0.779999999999999,0.63,0.149999999999999,"gain",7,6,6,6,-1,0,"remove"
"83","R2.f.G1.2016-05-08","live",8,"f","5:45:00 PM","G1.2016-05-08","challenged",3.94,"5/8/2016",18.83,24.17,3.85,-0.0899999999999999,-0.17,0.0800000000000001,"gain",7,7,6,6,-1,-1,"remove"
"84","R3.m.G1.2016-05-08","live",8,"m","5:45:00 PM","G1.2016-05-08","challenged",4.3,"5/8/2016",18.83,24.17,5.11,0.81,0.56,0.25,"gain",8,6,7,6,-1,0,"remove"
"85","R4.f.G1.2016-05-08","live",8,"f","5:45:00 PM","G1.2016-05-08","challenged",4.21,"5/8/2016",18.83,24.17,3.92,-0.29,-0.16,-0.13,"lose",7,7,7,7,0,0,"remove"
"86","F1.m.G6.2016-05-23","die",8,"m","4:50:00 PM","G6.2016-05-23","challenged",3.67,"5/23/2016",15.42,24.08,3.39,-0.28,-0.13,-0.15,"lose",3,3,0,0,-3,-3,"keep"
"87","F3.m.G6.2016-05-23","die",8,"m","4:50:00 PM","G6.2016-05-23","challenged",4.22,"5/23/2016",15.42,24.08,3.85,-0.37,-0.2,-0.169999999999999,"lose",5,2,0,0,-5,-2,"keep"
"88","F4.f.G6.2016-05-23","die",8,"f","4:50:00 PM","G6.2016-05-23","challenged",3.99,"5/23/2016",15.42,24.08,3.67,-0.32,-0.16,-0.16,"lose",7,7,0,0,-7,-7,"keep"
"89","R1.m.G6.2016-05-23","live",8,"m","4:50:00 PM","G6.2016-05-23","challenged",3.53,"5/23/2016",15.42,24.08,3.3,-0.23,-0.0699999999999998,-0.16,"lose",5,2,7,7,2,5,"keep"
"90","R2.f.G6.2016-05-23","die",8,"f","4:50:00 PM","G6.2016-05-23","challenged",3.77,"5/23/2016",15.42,24.08,3.43,-0.34,-0.2,-0.14,"lose",6,3,6,2,0,-1,"keep"
"91","R3.m.G6.2016-05-23","die",8,"m","4:50:00 PM","G6.2016-05-23","challenged",3.67,"5/23/2016",15.42,24.08,3.4,-0.27,-0.12,-0.15,"lose",3,2,0,0,-3,-2,"keep"
"92","F1.m.G8.2016-05-24","die",8,"m","4:40:00 PM","G8.2016-05-24","challenged",3.19,"5/24/2016",17.92,24.67,2.94,-0.25,-0.12,-0.13,"lose",3,3,3,2,0,-1,"keep"
"93","F2.f.G8.2016-05-24","live",8,"f","4:40:00 PM","G8.2016-05-24","challenged",3.11,"5/24/2016",17.92,24.67,3.09,-0.02,-0.12,0.0999999999999996,"gain",3,3,7,3,4,0,"keep"
"94","F3.m.G8.2016-05-24","die",8,"m","4:40:00 PM","G8.2016-05-24","challenged",3.14,"5/24/2016",17.92,24.67,2.86,-0.28,-0.13,-0.15,"lose",3,2,0,0,-3,-2,"keep"
"95","R2.m.G8.2016-05-24","die",8,"m","4:40:00 PM","G8.2016-05-24","challenged",3.1,"5/24/2016",17.92,24.67,2.88,-0.22,-0.0900000000000003,-0.13,"lose",3,3,0,0,-3,-3,"keep"
"96","F1.f.F1.2017-01-31","die",8,"f","4:35:00 PM","F1.2017-01-31","challenged",4,"1/31/2017",15.42,24.25,3.64,-0.36,-0.18,-0.18,"lose",3,2,6,6,3,4,"keep"
"97","F2.m.F1.2017-01-31","die",8,"m","4:35:00 PM","F1.2017-01-31","challenged",3.87,"1/31/2017",15.42,24.25,3.66,-0.21,0.02,-0.23,"lose",3,3,3,3,0,0,"keep"
"98","F3.f.F1.2017-01-31","live",8,"f","4:35:00 PM","F1.2017-01-31","challenged",4.14,"1/31/2017",15.42,24.25,4.04,-0.0999999999999996,-0.04,-0.0599999999999996,"lose",8,6,7,7,-1,1,"keep"
"99","R1.m.F1.2017-01-31","die",8,"m","4:35:00 PM","F1.2017-01-31","challenged",4.23,"1/31/2017",15.42,24.25,3.87,-0.36,-0.180000000000001,-0.18,"lose",2,2,2,2,0,0,"keep"
"100","R2.f.F1.2017-01-31","die",8,"f","4:35:00 PM","F1.2017-01-31","challenged",3.99,"1/31/2017",15.42,24.25,3.66,-0.33,-0.16,-0.17,"lose",6,6,3,2,-3,-4,"keep"
"101","F1.m.F2.2017-02-02","die",7,"m","4:30:00 PM","F2.2017-02-02","challenged",4.03,"2/2/2017",15.33,24.33,3.63,-0.4,-0.26,-0.14,"lose",3,3,2,0,-1,-3,"keep"
"102","F3.m.F2.2017-02-02","die",7,"m","4:30:00 PM","F2.2017-02-02","challenged",3.37,"2/2/2017",15.33,24.33,3.08,-0.29,-0.0800000000000001,-0.21,"lose",3,3,3,3,0,0,"keep"
"103","R1.m.F2.2017-02-02","die",7,"m","4:30:00 PM","F2.2017-02-02","challenged",2.98,"2/2/2017",15.33,24.33,2.76,-0.22,-0.12,-0.1,"lose",3,3,3,3,0,0,"keep"
"104","R2.m.F2.2017-02-02","live",7,"m","4:30:00 PM","F2.2017-02-02","challenged",2.29,"2/2/2017",15.33,24.33,2.18,-0.11,-0.0600000000000001,-0.0499999999999998,"lose",3,3,6,6,3,3,"keep"
"105","F1.f.G1.2017-02-23","live",7,"f","4:50:00 PM","G1.2017-02-23","challenged",3.73,"2/23/2017",18.92,24.92,4.16,0.43,0.38,0.0499999999999998,"gain",6,6,7,3,1,-3,"remove"
"106","F1.m.F9.2017-02-23","die",7,"m","6:20:00 PM","F9.2017-02-23","challenged",3.35,"2/23/2017",17.58,23.67,3.09,-0.26,-0.22,-0.04,"lose",3,3,3,2,0,-1,"keep"
"107","F2.f.G1.2017-02-23","live",7,"f","4:50:00 PM","G1.2017-02-23","challenged",3.86,"2/23/2017",18.92,24.92,3.55,-0.31,-0.24,-0.0700000000000003,"lose",6,3,7,7,1,4,"remove"
"108","F2.m.F9.2017-02-23","live",7,"m","6:20:00 PM","F9.2017-02-23","challenged",3.6,"2/23/2017",17.58,23.67,3.25,-0.35,-0.33,-0.02,"lose",3,3,7,7,4,4,"keep"
"109","F4.f.F9.2017-02-23","live",7,"f","6:20:00 PM","F9.2017-02-23","challenged",3.18,"2/23/2017",17.58,23.67,2.94,-0.24,-0.16,-0.0800000000000001,"lose",5,3,7,6,2,3,"keep"
"110","F4.f.G1.2017-02-23","live",7,"f","4:50:00 PM","G1.2017-02-23","challenged",3.27,"2/23/2017",18.92,24.92,2.99,-0.28,-0.11,-0.17,"lose",7,3,7,6,0,3,"remove"
